epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0098,2.85554,2.4127,1.88375,0.53503,0.08134,0.01464,0.00387,3.18452,3.62656,3.23636,0.00331884,0.00331884,0.0701304
2,63.3709,2.78389,2.31855,1.84347,0.07662,0.0686,0.03289,0.01032,3.25382,5.32082,2.45864,0.00658632,0.00658632,0.0400646
3,92.0667,2.67036,2.25134,1.79756,0.64354,0.1117,0.08814,0.02864,2.8266,2.57994,2.07198,0.00978779,0.00978779,0.00993272
4,121.172,2.56139,2.15114,1.73406,0.6661,0.14466,0.09319,0.03532,2.72872,2.57856,2.09686,0.009703,0.009703,0.009703
5,149.828,2.45719,2.06459,1.6907,0.67208,0.15469,0.11715,0.04758,2.59756,2.63575,2.0193,0.009604,0.009604,0.009604
6,178.274,2.38906,2.0292,1.63516,0.16618,0.13175,0.09786,0.03611,2.70545,2.44496,1.99547,0.009505,0.009505,0.009505
7,206.779,2.31882,1.98039,1.60649,0.74165,0.17625,0.16404,0.07104,2.45686,2.34725,1.93567,0.009406,0.009406,0.009406
8,236.378,2.27795,1.94186,1.59055,0.68626,0.15171,0.11643,0.04626,2.58147,2.35944,1.96375,0.009307,0.009307,0.009307
9,264.973,2.23479,1.89562,1.56048,0.72009,0.16093,0.14402,0.06024,2.40547,2.19596,1.84566,0.009208,0.009208,0.009208
10,293.676,2.20076,1.85704,1.54252,0.71798,0.17299,0.15609,0.06669,2.40911,2.18131,1.87527,0.009109,0.009109,0.009109
11,323.267,2.1391,1.79855,1.50804,0.70756,0.18628,0.15276,0.06431,2.3447,2.32108,1.81083,0.00901,0.00901,0.00901
12,351.912,2.165,1.81609,1.52557,0.70766,0.1715,0.1514,0.06182,2.49514,2.23255,1.92325,0.008911,0.008911,0.008911
13,380.614,2.09618,1.76592,1.48876,0.34395,0.1808,0.15378,0.0671,2.38151,2.18074,1.80743,0.008812,0.008812,0.008812
14,409.678,2.05403,1.71983,1.45733,0.24334,0.1906,0.15234,0.06685,2.3692,2.14399,1.84306,0.008713,0.008713,0.008713
15,438.869,2.06838,1.72705,1.47718,0.77216,0.19418,0.20829,0.09776,2.29083,2.08784,1.76257,0.008614,0.008614,0.008614
16,467.521,2.0199,1.69415,1.44673,0.73357,0.1913,0.18378,0.08495,2.32261,2.06144,1.78699,0.008515,0.008515,0.008515
17,496.177,2.0056,1.66675,1.44142,0.73553,0.18899,0.16337,0.07106,2.29367,2.06866,1.79614,0.008416,0.008416,0.008416
18,526.002,1.97152,1.63386,1.42357,0.50592,0.18062,0.14175,0.05839,2.37898,2.1356,1.86712,0.008317,0.008317,0.008317
19,555.431,1.98904,1.64491,1.42811,0.73208,0.21452,0.18597,0.08663,2.21962,2.01111,1.72066,0.008218,0.008218,0.008218
20,584.677,1.93928,1.59922,1.39218,0.22761,0.20403,0.19047,0.0898,2.25231,2.03186,1.7708,0.008119,0.008119,0.008119
21,614.105,1.92812,1.58346,1.39707,0.4743,0.22943,0.23261,0.11749,2.1782,1.91031,1.68123,0.00802,0.00802,0.00802
22,643.061,1.89511,1.57384,1.38034,0.73926,0.23373,0.21193,0.10193,2.17815,1.95214,1.70638,0.007921,0.007921,0.007921
23,671.829,1.89218,1.55281,1.38637,0.50568,0.235,0.21656,0.10406,2.10879,1.89212,1.6655,0.007822,0.007822,0.007822
24,701.416,1.87363,1.53868,1.37376,0.47522,0.23378,0.21731,0.1048,2.12461,1.94342,1.69641,0.007723,0.007723,0.007723
25,730.796,1.87486,1.52707,1.36664,0.48445,0.23973,0.227,0.1055,2.14133,1.85007,1.68774,0.007624,0.007624,0.007624
26,759.688,1.82963,1.48062,1.35071,0.39481,0.20459,0.17999,0.08267,2.22343,1.96252,1.77158,0.007525,0.007525,0.007525
